age,income,visits_last_30d,time_on_site_min,previous_purchases,target
56,2998,16,8.27,4,1
46,4597,5,6.5,5,1
32,2905,9,4.73,0,0
25,2276,13,9.44,1,1
38,4654,11,6.41,1,1
56,4680,7,7.26,3,1
36,1311,7,8.38,2,1
40,3965,7,7.1,2,1
28,800,4,7.11,3,1
28,4483,6,9.58,0,1
41,2079,8,7.38,2,1
53,4141,8,9.16,4,1
57,2462,7,8.36,5,1
41,3599,6,12.04,4,1
20,1543,8,8.02,0,0
39,2863,5,8.59,1,0
19,3128,6,9.75,3,1
41,4353,6,7.16,2,1
47,5353,18,5.41,3,1
55,3896,5,5.81,1,1
19,3557,9,5.84,2,1
38,1966,11,4.62,1,1
50,1497,8,7.79,1,0
29,3428,8,5.43,1,1
39,3362,7,7.49,3,0
42,3929,14,6.6,5,1
44,4045,10,6.9,2,1
59,3633,8,8.39,3,1
45,1439,10,5.65,3,1
33,4271,10,8.6,3,1
32,3073,9,10.92,3,1
20,2053,6,7.86,2,0
54,2702,5,5.04,0,0
24,1521,6,5.46,1,0
38,2787,10,6.38,3,1
26,4100,5,5.51,0,1
56,2806,2,4.52,2,0
35,2166,11,7.39,1,0
21,2890,5,6.45,3,1
42,3753,11,7.47,2,1
31,1580,13,9.97,2,1
26,1977,7,6.41,1,0
43,3352,10,4.04,3,1
19,1700,10,6.0,2,0
37,5534,7,8.93,3,1
45,3015,5,8.69,3,1
24,2111,10,8.3,1,1
25,2219,5,5.44,1,1
52,2620,8,8.88,2,1
31,2516,10,9.44,0,1
34,800,9,5.26,0,0
53,4716,6,6.9,3,1
57,3181,6,12.05,1,0
21,3167,8,5.15,3,1
19,4181,10,2.74,2,0
23,1934,9,10.46,0,0
59,2290,2,9.84,0,0
21,3748,12,5.86,1,1
46,3122,10,6.72,1,0
35,3613,12,3.94,2,1
43,3103,10,7.22,2,1
51,2910,9,9.91,3,0
27,4920,9,5.64,3,1
53,4478,12,9.19,0,1
31,800,7,8.16,6,1
48,4976,5,8.44,1,0
32,5790,7,5.79,4,1
25,4678,8,6.11,0,0
31,2942,9,2.38,1,1
40,2372,5,5.58,6,1
57,4073,9,9.91,2,1
38,2457,10,4.68,2,1
33,3627,8,5.05,2,1
35,3173,12,8.6,3,1
41,4661,14,8.01,0,1
43,2732,10,8.72,1,1
42,2668,8,4.09,3,1
58,3653,11,13.41,4,1
46,5520,11,3.96,1,1
32,3297,6,7.39,1,1
18,2700,11,6.6,3,1
42,4229,9,4.03,4,1
24,4061,9,6.07,3,1
26,2058,8,7.06,1,0
41,2556,1,5.38,1,0
18,4515,3,9.34,4,1
25,3713,16,6.6,0,0
41,800,7,3.65,4,1
28,3778,6,3.43,0,1
34,4311,13,8.52,2,1
25,2194,8,3.28,2,0
52,4012,4,7.79,2,1
52,5446,2,8.11,3,1
50,3675,8,4.51,0,0
22,2449,8,9.23,4,1
59,2573,12,2.71,1,1
56,3215,6,7.74,3,1
58,3653,9,6.9,3,1
45,3275,11,6.7,2,1
24,3801,4,4.06,1,0
